,Students age,Gender,Relationship status,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
192,0,1,0,2,3,0,3,4,1,0,0,1,1,2,0,0,0,0,1,0,1,2,1,2,1,1,1,1,0,1,2
193,1,0,0,0,3,3,2,3,2,1,0,0,1,3,3,0,0,2,2,1,0,0,1,2,1,1,1,0,1,2,4
194,0,1,0,2,3,0,3,4,1,0,0,1,1,2,0,0,0,0,1,0,1,2,1,1,1,1,0,1,0,0,2
195,1,1,2,0,3,2,2,4,2,2,0,0,1,3,3,1,0,2,0,0,1,0,1,1,1,0,0,0,0,1,4
196,1,1,1,0,4,3,0,4,1,2,0,1,1,3,3,0,1,1,2,1,1,2,1,2,2,1,0,1,0,1,7
197,1,1,1,0,3,3,0,4,3,2,0,0,1,3,2,0,0,2,0,0,1,1,1,1,1,0,0,0,0,1,3
198,1,1,1,0,2,2,2,4,4,3,0,0,1,3,2,0,0,1,1,0,1,2,1,2,2,1,0,0,0,1,7
199,1,1,1,2,3,2,0,4,4,3,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
200,1,1,1,2,3,2,3,4,1,3,0,0,1,3,2,0,0,0,0,0,1,0,0,1,1,0,0,2,0,2,3
201,1,1,1,2,0,0,2,4,4,3,0,0,0,3,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,2
202,2,0,1,0,1,1,1,4,0,3,0,0,1,3,2,0,0,3,0,1,0,2,1,1,1,1,1,0,0,1,6
203,2,1,1,0,3,1,3,4,2,2,0,2,2,3,3,0,1,1,1,1,0,2,1,1,2,0,1,0,0,1,6
204,2,0,1,0,3,2,0,4,1,3,0,1,1,3,3,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,6
205,1,0,1,1,3,2,2,4,4,2,0,1,1,3,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2
206,1,0,0,1,2,1,0,4,4,2,0,0,2,3,2,0,0,2,2,0,1,2,1,2,1,1,0,0,0,1,5
207,2,1,0,0,4,3,3,4,1,1,0,1,1,3,3,1,1,1,5,0,0,2,1,2,2,1,1,0,0,2,7
208,1,0,0,0,3,2,3,4,1,0,0,2,2,3,2,0,0,1,1,0,1,2,1,1,1,0,1,0,1,1,4
209,1,0,0,2,1,0,1,4,0,1,0,0,2,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,3
210,2,0,0,2,2,1,2,4,1,1,0,2,2,3,2,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,2
211,2,0,0,0,1,1,2,4,2,3,0,2,1,3,3,1,1,1,3,1,1,2,1,2,2,1,1,0,0,1,7
212,2,0,1,0,3,3,3,4,2,1,0,2,1,3,3,1,0,1,2,1,1,2,1,2,2,0,1,0,1,0,6
213,1,0,0,1,4,3,3,3,4,1,0,2,2,3,2,0,0,2,1,0,0,2,2,1,1,0,0,0,1,0,4
214,2,1,0,1,3,2,0,4,1,3,0,0,2,3,2,0,0,2,1,1,1,2,1,2,2,1,1,0,0,1,7
215,1,0,0,1,3,2,0,4,2,1,0,1,1,2,2,0,0,2,0,0,1,2,1,1,1,1,1,0,0,0,6
216,1,1,1,0,3,3,0,2,2,0,0,2,2,3,3,1,0,1,1,0,0,2,2,1,1,1,1,0,0,1,5
217,1,0,0,0,0,1,1,4,0,2,0,0,1,3,3,1,0,1,3,1,1,2,2,2,2,1,1,1,0,2,5
218,1,0,0,1,2,1,0,4,0,2,0,1,1,2,2,0,0,0,1,1,1,1,2,2,2,1,1,1,1,1,7
219,1,0,0,1,0,0,2,4,0,1,0,0,2,2,2,0,0,2,0,1,1,0,1,1,1,1,1,0,1,0,4
220,0,0,0,0,4,4,3,3,2,2,0,1,1,3,3,1,1,2,1,1,1,2,2,1,2,0,0,0,0,1,6
221,1,0,0,0,4,3,0,3,4,1,0,1,1,2,3,0,0,2,1,1,0,2,2,2,1,1,0,0,0,1,6
222,1,0,0,0,2,1,4,4,1,3,0,1,1,2,3,0,0,2,3,1,0,2,2,2,1,0,0,0,0,1,6
223,0,0,0,0,4,3,0,4,1,3,0,2,2,3,3,0,0,2,3,1,1,2,1,1,1,1,0,0,0,1,3
224,1,0,0,0,3,0,2,4,0,2,0,0,0,2,2,0,0,2,3,0,1,2,1,2,1,0,0,1,0,1,5
225,0,1,0,0,4,3,3,4,1,2,0,2,2,3,3,0,0,1,1,0,1,2,2,2,1,0,0,0,0,0,5
226,1,0,0,0,0,0,1,4,0,2,0,0,1,3,3,0,0,2,1,0,1,2,2,2,2,0,0,0,0,2,5
227,1,1,0,0,2,1,2,4,1,2,0,1,1,3,3,0,0,1,3,0,0,2,2,2,2,0,0,0,0,1,5
228,1,0,0,0,0,0,1,4,0,3,0,0,0,2,2,0,0,1,3,0,1,1,1,2,1,0,1,1,0,1,3
229,1,0,0,0,0,0,2,4,0,1,0,0,1,3,3,0,0,2,2,1,1,2,1,2,2,0,0,0,0,1,7
230,0,0,0,0,0,0,1,4,0,3,0,0,1,2,3,0,0,2,2,0,1,2,2,2,2,0,0,0,0,2,4
231,1,0,0,0,1,0,1,4,0,1,0,0,0,2,2,0,0,2,1,1,1,2,1,2,1,1,0,0,0,2,4
232,0,1,0,0,3,1,4,4,0,2,0,1,1,3,3,0,0,1,3,0,0,2,2,2,1,0,1,0,0,1,7
233,0,0,0,0,1,1,2,4,0,2,0,1,1,3,3,1,0,2,2,0,0,2,1,2,1,1,0,0,0,1,6
234,0,0,0,0,2,1,2,4,3,2,0,1,1,3,3,1,1,2,1,1,1,2,1,1,0,1,1,2,1,1,7
235,1,0,0,0,4,3,0,4,0,2,0,0,1,3,3,0,0,2,3,0,1,2,1,1,0,0,0,0,0,1,4
236,1,1,0,0,1,0,2,4,0,1,0,1,1,3,3,0,0,2,1,1,1,2,1,2,2,1,1,0,0,1,5
237,0,1,0,0,3,2,3,4,2,3,0,2,2,3,3,0,0,3,1,1,1,2,2,2,1,1,1,0,0,1,5
238,1,0,0,0,0,0,0,0,1,2,0,2,2,3,3,0,0,0,2,0,0,1,1,1,1,1,0,0,0,2,4
239,1,1,0,0,3,2,3,4,0,0,1,2,1,3,3,0,0,1,3,1,1,2,1,2,2,0,1,0,0,1,5
240,0,0,0,0,0,1,2,4,1,2,0,0,0,2,2,0,0,3,3,1,1,2,1,2,1,1,1,1,0,1,5
241,0,1,0,0,4,4,3,4,4,2,0,1,1,3,3,0,0,2,1,1,1,2,1,2,2,0,1,0,0,1,4
242,1,0,0,0,3,3,3,4,1,1,0,1,1,3,3,1,1,2,2,0,1,2,1,1,0,0,0,0,0,1,5
243,1,0,0,0,1,0,0,4,0,0,0,2,2,2,3,0,0,2,2,1,1,2,1,1,0,1,1,1,0,1,7
244,0,0,0,0,0,1,2,2,1,2,2,1,1,3,3,0,0,0,1,1,1,2,2,2,1,1,1,0,0,1,6
245,1,0,1,0,4,5,2,3,4,0,2,2,2,3,3,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,6
246,0,0,0,0,3,3,2,4,0,1,0,1,1,3,3,0,0,2,1,0,0,2,1,2,1,1,1,0,0,1,6
247,1,0,0,0,0,0,1,4,0,3,1,0,1,2,3,0,0,2,3,1,1,1,2,2,2,1,1,2,0,1,4
248,0,0,0,0,4,1,0,4,1,2,0,1,1,3,3,1,0,0,0,1,1,2,1,1,1,1,0,1,0,1,6
249,1,0,0,2,1,1,2,4,0,3,0,1,1,3,3,0,0,1,2,1,0,2,1,1,1,0,1,0,0,2,6
250,1,1,0,0,4,4,3,3,4,1,0,1,1,3,3,0,1,1,2,0,1,2,1,1,2,1,1,0,0,1,6
251,0,1,0,0,2,2,1,4,0,3,0,0,2,3,3,0,0,1,3,0,1,1,2,2,2,0,0,1,0,0,5
252,0,1,0,0,4,2,3,4,0,2,0,0,1,2,3,0,0,2,1,0,0,2,0,1,1,0,0,0,0,0,5
253,1,0,0,0,1,2,2,4,0,0,1,0,0,2,2,0,0,2,5,0,1,2,1,2,2,1,1,0,0,1,4
254,2,0,0,1,2,1,1,4,0,1,1,2,2,3,2,0,0,2,1,0,0,2,1,1,1,0,1,0,1,1,5
255,2,0,0,1,2,3,2,4,1,1,0,2,2,3,2,0,0,2,2,0,0,2,2,2,1,0,1,0,0,1,6
256,1,1,2,2,2,1,1,4,2,1,0,2,2,3,3,0,0,0,2,0,1,0,2,1,1,0,0,0,0,0,4
257,1,0,0,0,1,0,0,4,0,2,0,1,1,2,3,0,0,2,2,0,0,2,2,2,1,1,0,0,0,2,5
258,1,0,1,0,2,2,4,4,0,1,1,0,0,2,3,0,0,0,2,0,1,2,1,2,1,0,0,0,0,2,5
259,1,0,0,0,2,2,4,0,0,1,0,0,0,2,3,0,0,2,2,1,1,2,1,1,1,1,1,0,0,1,4
260,1,0,0,1,0,1,2,4,1,2,0,0,1,3,2,0,0,2,2,1,1,2,1,1,2,1,1,0,0,1,5
261,2,0,2,1,0,0,2,4,0,1,0,2,2,2,1,0,0,0,2,1,1,2,2,2,1,1,1,1,0,2,7
262,1,0,0,2,3,0,3,4,0,2,0,2,2,2,1,0,0,2,0,1,1,0,2,1,1,1,1,1,1,2,3
263,1,1,2,0,3,3,2,4,3,1,0,1,1,3,3,0,1,2,1,1,1,2,1,1,1,0,0,1,0,1,3
264,2,0,0,1,2,1,0,4,1,0,0,1,0,2,2,0,0,3,2,1,1,2,1,2,1,0,0,1,0,1,5
265,2,0,0,0,4,4,1,1,2,1,0,1,2,3,3,1,0,1,1,0,0,2,2,1,1,1,1,0,0,1,7
266,1,0,0,0,3,2,2,4,0,1,0,0,1,3,3,0,0,3,1,0,1,2,1,2,2,1,1,1,0,1,4
267,2,0,0,0,3,0,1,4,0,3,0,0,2,3,3,0,1,3,0,1,1,1,1,1,0,1,0,3,0,1,3
268,2,0,0,0,0,0,2,4,1,1,0,2,1,3,2,0,0,2,2,1,1,2,1,2,2,1,0,1,0,1,4
269,2,0,0,0,0,1,1,4,1,1,0,1,2,3,3,0,0,1,2,0,1,2,1,1,1,1,1,0,0,1,4
270,0,1,0,0,4,4,0,4,1,2,0,1,1,3,3,0,0,1,1,1,1,2,0,2,1,1,1,1,0,1,3
271,2,1,2,2,0,0,2,1,0,2,0,0,0,2,3,0,1,0,0,1,0,2,0,1,1,1,1,1,0,1,4
272,1,0,0,0,3,2,3,4,1,2,0,1,1,3,3,0,0,2,0,0,0,2,1,1,0,0,1,3,1,1,6
273,2,0,2,0,3,2,0,4,4,1,0,0,1,3,2,0,0,1,5,1,1,2,2,1,1,1,1,1,0,2,4
274,1,0,0,0,3,3,0,4,1,2,0,1,1,3,3,0,0,2,0,0,1,1,1,0,0,0,1,0,0,1,1
275,1,0,0,0,4,2,4,4,0,2,0,0,1,3,2,0,0,0,1,1,1,2,2,1,1,1,1,1,0,1,5
276,1,1,0,1,3,1,0,4,4,0,0,1,1,3,3,0,1,0,1,0,0,2,1,1,1,0,1,1,0,0,7
277,1,1,0,0,4,2,3,4,3,2,0,2,2,3,3,1,1,1,0,1,1,2,2,2,1,0,0,1,0,1,7
278,1,1,0,0,4,4,0,3,2,3,0,2,2,3,3,1,1,2,2,0,1,2,1,1,1,1,1,0,0,1,6
279,1,1,0,0,3,2,0,4,1,0,0,2,1,3,3,1,1,1,1,0,0,2,1,1,1,1,0,0,0,1,6
280,2,0,0,0,3,2,0,4,2,1,0,0,0,3,3,0,0,1,5,1,1,2,1,2,2,1,1,1,0,2,6
281,3,1,0,0,3,4,3,4,3,3,0,1,1,3,3,1,1,1,0,1,1,2,2,2,2,1,1,0,0,0,6
282,1,1,1,0,3,3,2,2,1,1,1,1,1,3,3,1,1,3,1,1,1,2,1,1,1,1,0,0,0,1,5
283,2,1,1,0,4,3,3,3,4,3,0,2,2,3,3,0,1,1,1,1,1,2,2,2,1,0,1,0,0,1,7
284,1,1,0,1,4,4,3,3,4,2,0,0,1,3,3,1,1,2,2,1,1,2,1,1,1,1,1,3,0,1,7
285,2,0,0,1,1,1,2,4,3,1,0,0,2,3,2,0,0,0,2,0,1,2,1,2,2,0,0,0,0,0,5
286,2,0,0,1,2,1,4,4,0,2,0,2,2,2,2,0,0,2,1,0,0,2,2,1,1,0,1,0,0,0,5
287,2,0,0,1,1,1,1,4,1,1,0,2,2,3,2,1,0,2,2,1,1,2,1,1,1,0,1,0,1,1,5
288,2,0,0,1,2,3,2,4,4,1,0,2,2,3,2,0,0,2,1,1,1,2,1,1,1,1,1,1,0,1,4
289,1,1,0,0,2,2,2,4,3,2,0,2,2,3,3,0,0,1,3,1,1,2,1,1,2,1,1,0,0,1,5
290,2,0,0,1,2,1,3,4,1,2,0,2,2,3,2,0,0,0,2,1,1,2,1,1,1,1,1,0,0,1,5
291,1,0,0,0,0,0,2,4,1,3,1,2,2,3,3,1,0,1,2,1,0,2,1,2,1,1,1,1,0,0,5
292,1,0,0,0,1,3,3,4,1,3,0,2,2,3,3,0,0,2,2,0,0,2,1,2,1,0,1,0,0,1,7
293,1,0,0,0,3,2,3,4,1,0,0,0,1,2,3,0,0,0,1,0,0,2,2,1,1,0,1,0,0,1,6
294,1,0,0,0,3,1,3,4,1,2,0,0,0,3,3,0,0,2,0,0,1,2,1,1,1,1,1,0,0,1,6
295,1,0,0,0,1,1,1,1,0,1,1,0,0,3,3,0,0,1,1,0,0,2,1,1,1,1,1,0,0,1,5
296,1,1,0,0,3,4,3,3,2,3,0,1,1,3,3,0,0,1,2,1,1,2,1,1,1,1,1,1,0,1,6
297,1,1,0,0,0,1,1,4,0,3,0,2,2,3,3,0,0,1,0,1,1,2,2,1,2,1,1,1,0,1,6
298,1,0,0,0,3,2,3,4,2,2,0,1,2,3,3,1,0,1,1,1,1,2,2,1,1,1,1,1,0,2,6
299,1,0,1,0,3,2,1,4,0,3,0,2,2,3,3,0,0,2,1,1,1,2,2,1,1,1,1,1,0,1,5
300,2,0,2,0,4,4,3,4,4,1,0,1,1,3,3,1,1,1,1,1,1,2,2,1,1,1,0,2,0,1,5
301,1,0,0,0,3,1,1,4,0,0,0,0,2,3,3,0,0,2,0,0,0,2,1,1,0,0,0,1,0,1,3
302,1,1,0,0,3,1,2,3,2,2,0,2,2,3,3,0,0,1,1,1,1,2,2,1,1,1,1,1,0,1,4
303,1,0,1,0,4,3,3,4,1,1,0,0,1,3,3,1,0,1,2,0,0,2,1,1,1,0,0,0,0,1,5
304,1,0,0,0,3,2,0,4,0,3,0,0,2,3,3,0,0,1,2,1,1,2,2,1,1,1,1,1,1,1,6
305,1,0,0,0,4,3,4,4,0,2,0,0,0,3,3,0,0,1,2,0,0,2,1,1,0,1,0,0,0,0,4
306,1,0,1,0,4,3,3,4,1,0,0,1,2,3,3,0,0,1,1,1,1,2,1,1,1,1,0,0,0,1,5
307,1,1,1,0,2,1,4,4,1,2,0,1,1,3,3,0,0,1,2,0,0,2,1,1,1,1,1,1,0,1,5
308,1,0,0,0,5,4,3,4,4,1,0,1,1,3,3,0,0,2,2,1,0,2,1,1,2,1,1,2,0,1,7
309,1,0,0,0,4,2,3,4,2,1,0,0,2,3,3,1,0,2,1,1,1,2,2,2,1,1,1,1,0,1,6
310,1,0,0,0,4,3,3,4,1,2,0,2,2,2,3,0,0,2,5,1,1,2,1,2,2,1,0,3,0,1,5
311,1,0,0,0,2,2,0,4,1,1,0,2,2,3,3,0,0,2,1,1,1,2,2,1,1,1,1,1,0,1,5
312,1,0,0,0,2,2,0,4,2,1,0,1,1,3,3,0,0,0,5,0,0,1,1,1,0,0,0,0,0,0,6
313,1,0,0,0,4,3,3,4,2,1,0,2,2,3,3,1,0,1,2,1,1,2,1,2,2,1,1,1,1,2,7
314,1,0,0,0,3,4,4,4,0,1,0,2,2,3,3,0,1,3,1,0,1,2,1,1,1,0,1,0,0,0,5
315,1,0,1,0,3,3,2,4,4,3,0,1,1,3,3,0,0,0,0,0,0,2,1,0,0,1,0,3,0,2,5
316,2,0,0,0,4,4,0,4,4,1,0,1,1,3,3,0,0,0,5,0,0,2,1,1,2,1,1,0,0,2,7
317,1,1,0,0,2,2,2,4,0,0,0,1,1,3,3,1,0,0,1,0,0,2,1,2,2,1,1,1,0,0,5
318,1,0,1,0,4,4,3,4,4,1,0,2,2,3,3,0,0,1,3,1,1,2,2,2,2,1,1,2,0,1,6
319,1,0,0,0,1,1,1,4,0,2,0,0,2,3,3,0,0,1,5,1,0,2,1,2,1,1,1,0,0,1,6
320,1,1,0,0,1,1,0,4,0,1,0,2,2,3,3,0,0,1,2,1,1,2,2,2,1,1,1,0,0,1,5
321,1,1,0,0,4,3,3,4,4,2,0,2,2,3,3,1,1,1,2,1,1,1,1,1,1,1,0,0,0,1,5
322,1,0,0,0,2,1,2,4,1,2,0,2,2,3,3,0,0,2,1,1,1,2,1,1,2,1,1,0,0,1,6
323,1,1,0,0,3,2,2,4,0,3,0,0,0,3,3,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,6
324,1,0,0,0,1,1,3,4,0,1,0,2,2,3,3,1,0,2,0,1,1,2,2,1,2,0,1,1,0,1,6
325,1,0,0,0,0,1,2,4,1,3,0,0,0,3,3,1,0,1,1,1,1,2,2,2,2,0,0,0,0,2,6
326,1,1,0,0,3,2,0,4,2,1,0,1,1,3,3,0,0,1,0,0,1,2,0,1,1,1,0,1,0,1,6
327,1,0,0,0,2,4,2,3,4,1,0,0,0,3,3,1,0,2,3,0,1,2,2,2,1,0,1,2,0,1,4
328,1,0,0,0,4,4,0,4,1,1,0,1,1,3,3,0,0,0,1,1,0,2,2,1,1,1,0,0,0,1,2
329,1,0,0,0,3,3,3,4,1,1,0,2,2,3,3,0,1,0,5,1,1,2,2,2,2,1,1,3,0,2,4
330,1,1,0,0,4,4,2,3,4,0,0,1,1,3,3,1,1,1,0,1,1,2,1,1,2,1,1,2,0,1,7
331,2,0,1,0,4,4,2,3,4,1,0,2,2,3,3,1,0,1,0,0,0,1,2,1,0,0,1,2,1,0,5
332,0,0,0,0,3,3,3,4,3,1,0,1,1,2,3,0,0,2,1,0,0,2,1,1,1,0,1,0,0,0,4
333,1,1,2,0,1,1,1,4,0,2,0,1,1,3,2,0,0,0,1,1,1,1,2,2,2,1,1,1,0,1,6
334,0,0,0,0,4,4,3,3,2,1,0,1,1,3,3,1,1,2,1,1,1,2,2,1,2,0,0,0,0,1,6
335,1,0,0,0,3,2,3,4,3,2,0,2,2,3,3,0,0,0,1,1,0,2,1,2,2,1,1,0,0,1,6
336,1,0,0,0,1,0,2,4,0,2,0,2,2,3,3,0,0,0,3,0,1,2,1,1,1,1,1,3,0,1,4
337,1,0,0,0,4,4,3,3,3,1,0,1,1,3,3,1,0,2,1,0,0,2,1,1,1,0,0,0,0,1,3
338,1,0,0,0,2,1,3,4,1,2,0,0,1,3,3,0,0,2,5,1,0,2,2,2,1,1,1,0,0,1,6
339,0,0,0,0,3,3,0,0,1,2,0,2,2,3,3,0,0,1,2,0,1,2,1,1,1,1,1,1,0,1,4
340,1,0,0,0,1,1,2,4,1,1,0,1,1,3,3,0,0,2,1,1,1,2,1,2,2,0,0,0,0,2,5
341,1,0,0,0,1,3,2,3,2,1,0,2,1,3,3,0,0,0,2,1,0,2,1,2,1,1,1,3,1,1,5
342,1,0,0,0,1,2,1,4,0,1,0,1,1,3,3,0,0,3,2,1,1,2,1,2,2,1,1,0,0,1,5
343,1,1,0,0,4,3,4,4,1,1,0,1,1,2,3,0,0,1,1,1,1,2,1,1,2,0,1,0,0,1,4
344,1,0,0,0,3,1,3,4,1,1,0,1,1,3,3,0,0,2,1,0,1,2,2,1,1,1,1,0,0,1,6
345,0,1,1,0,4,1,3,4,1,1,0,1,2,3,3,1,0,1,1,1,1,2,1,1,2,1,1,0,0,1,5
346,1,1,0,0,3,2,3,4,1,1,0,1,1,3,3,0,0,1,1,1,1,2,1,1,2,1,1,0,0,0,6
347,1,1,0,0,4,4,3,3,2,1,0,1,1,2,3,0,0,1,2,0,1,2,1,1,1,0,1,0,0,0,7
348,1,0,0,0,1,1,1,4,0,1,0,0,1,2,2,0,0,2,1,1,1,2,2,2,2,0,1,0,0,1,5
349,1,1,0,0,3,4,3,3,2,3,0,2,1,3,3,1,0,1,1,1,1,2,1,1,2,1,1,0,0,0,4
350,1,0,0,0,0,2,1,4,0,2,0,0,2,2,3,0,0,2,1,1,0,2,2,1,1,1,1,3,1,1,3
351,1,0,2,0,2,1,1,4,0,2,0,0,1,2,3,0,0,3,1,0,0,2,2,1,1,0,1,1,0,1,5
352,1,0,0,0,3,1,0,4,2,2,0,2,2,2,3,0,0,2,1,0,1,2,2,1,1,1,1,0,0,1,5
353,1,1,0,0,4,3,2,3,1,1,0,2,2,3,3,0,0,1,1,1,0,2,1,2,1,0,0,2,0,1,4
354,1,1,0,0,0,1,2,4,1,3,0,0,1,3,3,0,0,0,1,1,1,2,2,2,2,1,1,1,0,1,7
355,0,1,0,0,1,1,1,4,0,2,0,1,1,3,3,0,0,1,1,1,1,2,2,1,2,0,0,0,0,1,4
356,1,0,0,0,3,2,1,4,1,0,0,0,0,2,3,0,0,2,1,1,1,2,2,2,2,1,1,0,0,1,6
357,0,1,0,0,4,3,3,4,0,1,0,2,2,3,3,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,4
358,1,0,0,0,3,2,2,4,1,1,0,2,2,3,3,0,0,2,1,1,1,2,2,2,2,1,1,3,0,1,5
359,1,0,0,0,2,1,1,4,0,2,0,0,1,3,3,0,0,1,3,1,1,2,1,1,2,0,0,0,0,0,5
360,0,0,0,0,2,2,1,4,0,1,0,0,0,3,3,0,0,2,2,0,1,2,1,1,1,0,1,0,0,1,3
361,1,0,0,0,4,3,3,3,1,0,0,1,2,3,3,1,0,2,5,0,0,1,1,2,1,0,1,0,0,1,1
362,0,0,0,0,4,4,2,4,4,3,0,1,1,3,3,0,0,2,2,0,0,2,1,1,1,0,0,0,1,1,1
363,0,0,0,0,3,2,3,4,0,3,0,0,1,2,3,0,0,2,1,0,1,2,1,1,1,1,1,0,0,1,3
364,1,0,0,0,3,3,3,4,3,2,0,2,2,3,3,1,0,2,3,0,0,2,1,1,1,0,1,0,0,1,2
365,1,1,0,0,3,3,0,0,1,2,0,1,1,2,3,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1
366,0,0,2,0,3,2,2,4,1,0,0,0,0,3,3,0,0,2,3,1,0,2,1,2,2,0,0,2,0,1,4
367,0,0,0,0,3,2,0,4,2,0,0,1,1,2,2,0,0,0,2,1,1,2,1,2,1,1,0,1,1,1,2
368,1,0,0,0,4,3,0,0,2,1,2,1,1,2,3,0,0,2,2,1,1,2,1,1,1,1,0,0,1,1,3
369,0,0,0,0,4,2,0,4,2,2,0,2,2,2,2,0,0,0,0,0,1,2,1,1,0,0,1,0,0,1,1
370,0,1,0,0,0,1,2,4,0,0,0,0,1,2,3,0,0,1,1,1,1,2,2,2,2,0,1,0,0,1,4
371,1,0,0,0,2,2,0,0,1,1,0,1,1,2,3,0,0,3,3,1,0,2,0,2,1,1,0,0,0,1,3
372,1,0,0,0,4,1,3,4,0,3,0,2,2,3,3,0,0,2,1,1,0,2,1,1,1,1,1,0,0,1,2
373,1,0,1,0,1,1,2,4,1,2,0,2,2,3,3,1,0,2,1,1,1,2,1,2,2,1,1,0,0,1,3
374,0,1,0,0,3,3,0,4,0,0,0,2,2,3,3,1,0,1,1,1,1,2,1,2,2,1,0,0,0,0,4
375,1,0,0,0,1,1,2,4,0,2,0,2,2,3,3,1,0,3,1,0,1,2,2,1,2,0,0,0,0,1,3
376,0,1,0,0,1,2,2,4,2,3,0,2,2,3,3,0,0,1,2,0,1,2,1,1,2,1,0,0,0,1,1
377,1,0,0,0,0,1,4,4,1,2,0,1,2,2,3,0,0,0,0,0,0,2,1,1,1,0,0,3,0,1,2
378,0,1,0,0,3,3,2,3,3,1,0,1,1,3,3,0,0,1,1,0,1,2,1,1,1,0,0,0,0,1,4
379,1,0,0,0,3,3,0,4,1,1,0,0,2,2,3,0,0,2,2,0,1,2,1,1,1,1,0,0,0,1,4
380,0,1,1,0,3,2,3,4,4,1,0,2,2,3,3,0,0,1,1,0,0,2,2,1,1,0,1,0,0,1,2
381,0,1,0,0,4,2,0,4,0,2,0,2,2,3,3,1,0,1,2,1,1,2,1,1,1,0,1,0,0,1,2
382,0,0,0,0,2,3,0,4,1,3,0,0,1,2,3,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,3
383,0,1,0,0,4,4,0,0,1,2,0,2,2,3,2,0,0,2,5,1,1,2,1,2,1,1,0,0,0,1,0
384,0,1,1,0,3,3,4,4,2,2,0,1,1,3,3,0,0,2,2,0,0,1,1,2,2,1,1,0,0,2,4
385,1,0,0,0,0,0,2,4,0,0,0,0,1,3,3,0,0,2,3,1,0,2,2,2,2,1,1,1,0,1,1
386,0,0,0,0,1,0,2,4,1,3,0,0,2,3,3,0,0,3,1,1,0,2,2,2,2,1,1,2,0,1,4
387,1,0,0,0,3,2,0,4,1,2,0,0,1,3,3,0,0,2,2,0,0,2,1,2,2,1,1,1,0,1,5
388,1,0,2,0,1,1,4,4,0,3,0,0,1,2,3,0,0,2,0,0,0,2,1,1,1,0,1,1,0,0,3
389,0,1,0,0,2,1,0,4,1,3,0,1,1,2,3,0,0,1,2,1,1,2,1,1,2,0,0,0,0,0,3
390,1,1,0,0,3,4,3,3,2,3,0,1,1,3,3,0,0,1,2,1,1,2,1,1,1,1,1,1,0,1,6
391,0,1,0,0,3,0,4,4,4,3,0,1,2,2,3,0,0,1,2,0,0,2,1,1,2,0,0,0,0,0,3
392,1,1,1,0,2,1,2,4,4,1,0,2,2,3,2,0,0,0,1,1,1,2,2,2,1,1,1,1,0,0,5
393,1,1,1,0,3,1,0,4,2,1,0,2,2,3,2,0,0,2,1,0,0,2,2,1,1,1,1,0,0,0,4
394,2,0,1,0,4,2,3,4,2,1,0,1,1,3,3,0,0,2,0,0,1,2,2,1,0,1,0,1,0,0,4
395,2,0,0,0,3,3,3,3,4,1,0,1,1,3,3,1,0,1,1,1,0,2,1,1,1,1,1,0,0,2,6
396,2,0,0,1,1,1,2,4,4,2,0,1,1,3,2,0,0,2,0,0,0,2,2,1,0,1,0,0,0,2,4
397,1,0,0,0,3,3,2,4,1,2,1,1,1,3,2,1,0,1,0,0,0,1,2,1,0,1,1,0,1,1,3
398,2,0,1,0,1,1,2,4,2,1,0,1,1,2,2,0,0,1,1,0,0,2,2,1,0,0,1,0,1,1,4
399,2,0,0,2,4,3,3,3,4,1,0,1,1,3,3,1,0,1,5,1,1,2,1,2,2,1,1,1,0,0,7
400,2,0,0,0,2,1,0,4,1,2,0,1,1,3,2,0,0,1,0,0,0,1,2,1,0,1,0,0,1,2,2
401,2,0,0,2,0,0,1,4,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,3
402,1,1,1,1,2,1,4,4,1,3,1,1,1,3,3,1,0,2,3,0,1,2,2,2,1,1,1,0,0,0,6
403,1,0,0,0,2,1,2,4,1,0,0,2,2,3,2,0,0,1,1,0,0,2,1,1,1,0,1,1,1,1,4
404,2,0,1,0,3,2,0,4,2,1,0,1,1,3,2,0,0,2,0,0,1,1,2,1,0,1,1,3,1,0,3
405,1,1,1,2,2,1,2,4,4,1,0,1,1,3,2,0,0,0,2,0,1,0,1,2,1,0,0,0,0,0,4
